trial,value,stack_mb,heap_mb,global_mb,mpi_strategy,cummin
0,131.1,8000,100,8000,MPI-PR,131.1
1,831.0,4000,350,30000,MPI-PR,131.1
2,55.3,6500,150,10000,MPI-PR,55.3
3,118.7,14500,400,10000,MPI-PR,55.3
4,56.6,11000,350,24000,MPI-PR,55.3
5,87.0,4000,400,31000,ARMCI-MPI,55.3
6,87.1,6500,200,7000,MPI-PR,55.3
7,62.2,16000,250,26000,MPI-TS,55.3
8,54.0,12500,100,4000,MPI-TS,54.0
9,76.4,8000,250,17000,ARMCI-MPI,54.0
10,208.1,5500,350,22000,MPI-TS,54.0
11,192.3,9500,150,30000,ARMCI-MPI,54.0
12,51.2,9000,400,19000,ARMCI-MPI,51.2
13,86.9,8000,250,19000,MPI-PR,51.2
14,214.9,15000,100,20000,MPI-TS,51.2
15,614.0,14500,400,32000,MPI-TS,51.2
16,83.8,7000,100,9000,MPI-TS,51.2
17,197.3,7000,200,23000,MPI-PR,51.2
18,87.2,6500,200,27000,MPI-TS,51.2
19,1000.0,8500,150,18000,MPI-PR,51.2
20,83.5,8500,250,8000,ARMCI-MPI,51.2
